Team;Time;Consumption in KW;Consuption in euro;Appliance;;;;;;;
Krhtikoi;20180201;18;2,7;Air-condition;;;;;;;
Krhtikoi;20180202;14;2,1;Air-condition;;;;;;;
Krhtikoi;20180203;14;2,1;Air-condition;;;;;;;
Krhtikoi;20180204;20;3;Air-condition;;;;;;;
Krhtikoi;20180205;12;1,8;Air-condition;;;;;;;
Krhtikoi;20180206;10;1,5;Air-condition;;;;;;;
Krhtikoi;20180207;18;2,7;Air-condition;;;;;;;
Krhtikoi;20180201;1,5;0,21;Computer;;;;;;;
Krhtikoi;20180202;1,5;0,21;Computer;;;;;;;
Krhtikoi;20180203;1,5;0,21;Computer;;;;;;;
Krhtikoi;20180204;1,5;0,21;Computer;;;;;;;
Krhtikoi;20180205;1,5;0,21;Computer;;;;;;;
Krhtikoi;20180206;1,5;0,21;Computer;;;;;;;
Krhtikoi;20180207;1,5;0,21;Computer;;;;;;;
Krhtikoi;20180201;1,3;0,18;Dish Washer;;;;;;;
Krhtikoi;20180202;2,9;0,38;Dish Washer;;;;;;;
Krhtikoi;20180203;1,3;0,18;Dish Washer;;;;;;;
Krhtikoi;20180204;1,3;0,18;Dish Washer;;;;;;;
Krhtikoi;20180205;1,3;0,18;Dish Washer;;;;;;;
Krhtikoi;20180206;1,3;0,18;Dish Washer;;;;;;;
Krhtikoi;20180207;1,3;0,18;Dish Washer;;;;;;;
Krhtikoi;20180201;1,3;0,165;Dryer;;;;;;;
Krhtikoi;20180202;2,6;0,33;Dryer;;;;;;;
Krhtikoi;20180203;5,2;0,66;Dryer;;;;;;;
Krhtikoi;20180204;3,9;0,495;Dryer;;;;;;;
Krhtikoi;20180205;1,3;0,165;Dryer;;;;;;;
Krhtikoi;20180206;2,6;0,33;Dryer;;;;;;;
Krhtikoi;20180207;5,2;0,66;Dryer;;;;;;;
Krhtikoi;20180201;1;0,14;Fridge-Freezer;;;;;;;
Krhtikoi;20180202;1;0,14;Fridge-Freezer;;;;;;;
Krhtikoi;20180203;1;0,14;Fridge-Freezer;;;;;;;
Krhtikoi;20180204;1;0,14;Fridge-Freezer;;;;;;;
Krhtikoi;20180205;1;0,14;Fridge-Freezer;;;;;;;
Krhtikoi;20180206;1;0,14;Fridge-Freezer;;;;;;;
Krhtikoi;20180207;1;0,14;Fridge-Freezer;;;;;;;
Krhtikoi;20180201;0,12;0,01;Microwave Oven;;;;;;;
Krhtikoi;20180202;0,36;0,03;Microwave Oven;;;;;;;
Krhtikoi;20180203;0;0;Microwave Oven;;;;;;;
Krhtikoi;20180204;0,18;0,015;Microwave Oven;;;;;;;
Krhtikoi;20180205;0,12;1;Microwave Oven;;;;;;;
Krhtikoi;20180206;0,9;0,075;Microwave Oven;;;;;;;
Krhtikoi;20180207;0;0;Microwave Oven;;;;;;;
Krhtikoi;20180201;5,48;0,73;Oven;;;;;;;
Krhtikoi;20180202;5,48;0,73;Oven;;;;;;;
Krhtikoi;20180203;5,48;0,73;Oven;;;;;;;
Krhtikoi;20180204;5,48;0,73;Oven;;;;;;;
Krhtikoi;20180205;5,48;0,73;Oven;;;;;;;
Krhtikoi;20180206;5,48;0,73;Oven;;;;;;;
