Team;Time;Daily consumption in KW;Cost per day in euro;Appliances
Krhtikoi;20180201;18;2,7;Air-condition
Krhtikoi;20180201;1,5;0,21;Computer
Krhtikoi;20180201;1,3;0,18;Dish Washer
Krhtikoi;20180201;1,3;0,165;Dryer
Krhtikoi;20180201;1;0,14;Fridge-Freezer
Krhtikoi;20180201;0,12;0,01;Microwave Oven
Krhtikoi;20180201;5,48;0,73;Oven
Krhtikoi;20180201;0,35;0,05;Television
Krhtikoi;20180201;0,9;0,124;Toaster
Krhtikoi;20180201;1,4;0,17;Washing Machine
Krhtikoi;20180201;5,2;0,66;Water heater
Krhtikoi;20180202;14;2,1;Air-condition
Krhtikoi;20180202;1,5;0,21;Computer
Krhtikoi;20180202;2,9;0,38;Dish Washer
Krhtikoi;20180202;2,6;0,33;Dryer
Krhtikoi;20180202;1;0,14;Fridge-Freezer
Krhtikoi;20180202;0,36;0,03;Microwave Oven
Krhtikoi;20180202;5,48;0,73;Oven
Krhtikoi;20180202;0,35;0,05;Television
Krhtikoi;20180202;1,5;0,2;Toaster
Krhtikoi;20180202;1,8;0,22;Washing Machine
Krhtikoi;20180202;5,2;0,66;Water heater
Krhtikoi;20180203;14;2,1;Air-condition
Krhtikoi;20180203;1,5;0,21;Computer
Krhtikoi;20180203;1,3;0,18;Dish Washer
Krhtikoi;20180203;5,2;0,66;Dryer
Krhtikoi;20180203;1;0,14;Fridge-Freezer
Krhtikoi;20180203;0;0;Microwave Oven
Krhtikoi;20180203;5,48;0,73;Oven
Krhtikoi;20180203;0,35;0,05;Television
Krhtikoi;20180203;0,9;0,124;Toaster
Krhtikoi;20180203;6,8;0,83;Washing Machine
Krhtikoi;20180203;7,8;0,99;Water heater
Krhtikoi;20180204;20;3;Air-condition
Krhtikoi;20180204;1,5;0,21;Computer
Krhtikoi;20180204;1,3;0,18;Dish Washer
Krhtikoi;20180204;3,9;0,495;Dryer
Krhtikoi;20180204;1;0,14;Fridge-Freezer
Krhtikoi;20180204;0,18;0,015;Microwave Oven
Krhtikoi;20180204;5,48;0,73;Oven
Krhtikoi;20180204;0,35;0,05;Television
Krhtikoi;20180204;0,9;0,124;Toaster
